;texto;polarity;subjectivity;location;Latitude;Longitude
0;Haddad: 'Não tenham medo. Nós estaremos aqui. Verás que um professor não foge à luta' - Sul 21 https://t.co/pjEovPAhsf via @jornalsul21;-0.6;0.9;Paraná;-31.726309999999955;-60.531469999999956
1;@Haddad_Fernando Até 2022, Presidente Haddad! #EuSouHaddad;0.8;1.0;Rio de Janeiro, Brazil;-22.91215999999997;-43.17500999999993
2;Pessoal, existe um abismo bem grande cultural entre o Brasil e os Estados Unidos, não vejo Bolsonaro e Haddad senta… https://t.co/4nGNc9LeI3;0.1261904761904762;0.3190476190476191;Barueri;-23.504279999999937;-46.84460999999993
3;@Brayantmenna @R_BALLBOA @morenofla5 @Haddad_Fernando https://t.co/WWcCPTijuf;0.0;0.0;Milão, Itália;45.46796000000006;9.18178000000006
4;No primeiro discurso após derrota, Haddad pede respeito e coragem à oposição https://t.co/2irRPZqxHy October 28, 2018 at 10:06PM;0.25;0.3333333333333333;Brasil, Paraná, Curitiba,;-25.439979999999935;-49.276539999999954
5;E diferente do Alckmin o Haddad não teve votação menor no segundo turno;-0.1;0.2;Leme, Brasil;-22.18534999999997;-47.388049999999964
6;@Haddad_Fernando LUTE CONOSCO!!💪💪;0.0;0.0;fan account ;13.797380000000032;100.73168000000004
7;@CarlosA80478390 @magnesio @zehdeabreu foram não.  Haddad perdeu.;0.0;0.0;Bahia, Brasil;-12.490536620999933;-41.73040983399994
8;@PPReacaRN @MeryanyG @RENATOGONZAGA @Valqurias4 @Auber_Brasil @Athiabalba @crisilly @uli_cassilva @AnaXavier98… https://t.co/fuASZRWeRV;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
9;@Haddad_Fernando @putatwittou https://t.co/ueTc5hBhEk;0.0;0.0;ParisCity*;21.484870000000058;39.18252000000007
10;@mieldoux_ olha todas as notícias dos que votaram no bolsonaro, apenas briga, quem vota nulo foge da briga e tem me… https://t.co/66PC8GCt84;0.0;0.0;「..αɴα♡ѕσғ♡ʙɪɪʜ♡ɪαʀα♡ʟυмα..」;;
