;texto;polarity;subjectivity;location;Latitude;Longitude
33;Nesta madrugada a campanha criminosa de notícias falsas e que não poupa as crianças disparou milhões de mensagens p… https://t.co/l3ZQeOfKsg;-0.45;0.775;São Paulo, São Paulo;-23.562869999999975;-46.654679999999985
34;Acho que Haddad só teve os votos meu e da minha mãe aqui. 😅;0.0;0.0;Campos dos Goytacazes, RJ-BR;-21.754599999999982;-41.32418999999993
35;bom dia pra quem leu o texto do haddad e começou a chorar;0.7;0.6000000000000001;♀;;
36;#ViraVirouHaddad Procurando a ficha do Haddad https://t.co/KV3XEBe0bX;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
37;Bom dia de haddad;0.7;0.6000000000000001;Porto Alegre, Brasil;-30.033919999999966;-51.22798999999998
38;@ECantanhede Não tenho certeza. Lula é só um presidiário. Haddad é só um preposto, ou quem sabe, até um judas. Ciro… https://t.co/AqAFjUczYX;-0.125;0.9444444444444444;Rio de janeiro.RJ;-22.91215999999997;-43.17500999999993
39;@restodeabortoQ @KarinaLawliet1 Haddad 17;0.0;0.0;no cú do mundo;-33.45089999999993;-70.67536999999999
40;"@Pontifex_pt @Bob_Fernandes Também é pecado votar em quem defende torturadores.

Eu voto Haddad presidente 13,  um… https://t.co/CC1cvrh4cD";0.0;0.0;Vitória;-20.320619999999963;-40.33409999999998
41;https://t.co/WIExfvuLMb;0.0;0.0;Recife, Brasil;-8.055309999999963;-34.87198999999998
42;Preciso levantar pra tomar banho e votar em HADDAD.;0.0;0.0;Salvador, Brasil;-12.986449999999934;-38.52258999999998
43;bom dia amor, acorda pra votar no haddad;0.6;0.6000000000000001;Passos - Minas Gerais;-20.720849999999928;-46.60993999999994
44;"vale a pena lembra que...

chupa o bico do meu peito e vota no Haddad, bolsonaro é só fake e foge do debate";-0.16666666666666666;0.4666666666666666;021;41.889950000000056;13.085645740000075
45;Como um Tisunami....https://t.co/r4PcJHIdrY #OBrasilVota17;0.0;0.0;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
46;pensar que se o Haddad não fosse do pt com certeza ele ganharia pq um monte de gente tá votando no outro por ser co… https://t.co/4Gc7OEfmRy;0.39166666666666666;0.5546296296296296;upside down;-23.6486000038951;-46.665029948929494
47;bom dia só pra quem vai de haddad o resto o que tenho a ver;0.7;0.6000000000000001;Recife, Brasil;-8.055309999999963;-34.87198999999998
48;"@JornalOGlobo E se Haddad não prometesse ""desencarcerar pessoas que cometeram pequenos delitos""?";-0.25;0.4;Hertfordshire ;51.82974190200008;-0.2169974009999578
49;e fodase quem vier falar bosta, eu acho o haddad um merda n vou ir contra oq eu sempre critiquei só por causa do bonoro 🙏🙏;-0.26666666666666666;0.7333333333333334;+55ZERO11;;
50;Cada revirada de olho que já dei hoje vendo bolsominions... To indo pra um lugar q não pega sinal de celular e inte… https://t.co/BZpojKRSP1;0.0;0.0;Palmas, Brasil;-10.169279999999958;-48.33203999999995
51;Participei da festa da democracia, agora é torcer que o Haddad venca #elenao;0.8;0.4;santa maria;-29.690819999999974;-53.801039999999944
52;@ManuelaDavila @Haddad_Fernando como é perder pra brancos e nulos? https://t.co/hDqeEPWkIU;0.0;0.0;Brasília de Minas, Brasil;-16.219679999999983;-44.432819999999936
53;Hoje é dia de haddad ou bolsomini😅😅👌;0.0;0.0;Posse city;-14.08746999999994;-46.366169999999954
54;@Claudin33420201 Quem deve ter do Haddad é Jullia ou Juliana, os meus acabaram :(;-0.75;1.0;Niterói, Brasil;-22.88842999999997;-43.11463999999995
55;"hey, 
i just met you and this is crazy 
but here's my number 
haddad treze XD";-0.6;0.9;fé em @deus dj;11.733763645000067;42.58017759000006
56;virei um voto no banheiro da calourada e fiz um nulo pensar mais. Bom dia meu presidente haddad;0.48333333333333334;0.65;Natal, RN;-5.795439999999928;-35.211509999999976
57;@o_colecionador Vcs não correm esse risco!! Haddad vai ser o presidente!! #haddadPresidente #Hadaad13;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
58;um bom dia só pra quem vota em Haddad e Manuela;0.7;0.6000000000000001;Ouro Preto, Minas Gerais;-20.38522999999998;-43.50369999999998
59;@24HorasTVN TVN haciendo campaña para haddad😂 háganla mas piola por último..;0.25;0.75;Santiago Chile;-33.43721999999997;-70.65001999999998
60;@Rodrigo_Janot Melhor colocar o Haddad, que a gente pode tirar, do que o Bozo, que vai se segurar no poder, a qualq… https://t.co/Fb8XWn4YtO;0.5;0.5;Here and There;36.39086903700007;140.2850968450001
61;Haddad 13 https://t.co/llaFd6HhjE;0.0;0.0; puta que pariu;45.379491148875104;-73.5735543499836
62;Eu chegando pra votar no Haddad https://t.co/D268CfW8DO;0.0;0.0;Manaus, Brasil;-3.109149999999943;-60.05179999999996
63;Brasil, vota logo, escolhe qualquer um dos dois, Bolsonaro ou Haddad e q se foda, a gente sempre perde no final mes… https://t.co/OLhjJhMKwd;-0.4;0.6;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
64;vira vira haddad;0.0;0.0;madu ;24.20917000000003;117.76222000000007
65;@juvaleriano No fim, Ciro se importa mais com o orgulho que o PT feriu do que com o país. O 2º turno demonstrou mui… https://t.co/9jKGML4Blt;0.09999999999999999;0.3;Brasil, Rio de Janeiro, RJ;-22.90277999999995;-43.20749999999998
66;eu to sentindo que haddad vem para todes;0.0;0.0;Belo Horizonte, Brasil;-19.919519999999977;-43.93832999999995
67;tristeza q mainha simplesmente enfiou na cabeça q vai votar nulo e eu to falando mas ela tá nem aí. eu faço questão… https://t.co/YStUUE8ZDD;0.0;0.35714285714285715;princesa do sertão;-27.982549999999947;-52.25696999999997
68;MINHA MÃE CONTANDO QUE FOI VOTAR E COLOCOU 13 E APARECEU FERNANDO E ELA FICOU NA DUVIDA, AÍ ELA LEU HADDAD E FICOU TUDO CERTON;0.0;0.0;Águas de Lindóia, Brasil;-22.474669999999946;-46.63002999999998
69;"@aquinoo88 @LuzCortizo @Haddad_Fernando ""Professores comunistas"", da desgosto de ler umas coisas dessas";0.0;0.5;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
70;Sonhei com as eleições e que o Haddad tinha ganhado. Nunca quis tanto morar no meu sonho;0.16818181818181818;0.35;Belo Horizonte, Brasil;-19.919519999999977;-43.93832999999995
71;se o haddad ganhar meu perfil vira do corinthians;0.8;0.4;@PandoraDanceGrp 🍑;;
72;Rodrigo Hilbert anuncia voto em Haddad e denuncia agressão de bolsonarista a amigo gay | Revista Fórum https://t.co/8G9rOigY42;0.4166666666666667;0.5833333333333334;RJ - Cidade Maravilhosa;-22.919230025535168;-43.17960005107039
73;se o haddad ganhar eu crio coragem e furo meu peito https://t.co/LvfehD8PVX;0.8;0.4;ketlen.;-21.17900999999995;-47.81087999999994
74;Consegui mais um voto pro Haddad 🙏🏼;0.0;0.0;São Gonçalo, Brasil;-22.823279999999954;-43.045369999999934
75;A eleitora do Haddad chegou;0.0;0.0;São Paulo;-23.562869999999975;-46.654679999999985
76;@apeshxx @bxtrzx Marcha de haddad;0.0;0.0;João Pessoa, Brasil;-7.115259999999978;-34.86107999999996
77;"Deu tempo de acariciar a foto do Haddad quando apertei o 1️⃣3️⃣

É muito o meu presidente mesmo";0.6;1.0;São Luís;-2.5265699999999356;-44.240309999999965
78;@charles_liima haddad neles, 17!!!!;0.0;0.0;RJ-São Gonçalo;-22.823279999999954;-43.045369999999934
