;texto;polarity;subjectivity;location;Latitude;Longitude
0;Gostei de um vídeo @YouTube https://t.co/d1b8WcB4TT COUTO - LULA X BOLSONARO NO SEGUNDO TURNO. A BATALHA FINAL;0.0;0.5;Recife, PE;-8.055309999999963;-34.87198999999998
1;"@CENTAAPUA17 @CarlosBolsonaro "" a vantagem de Bolsonaro é que em 28 anos de política ele não mentiu, tá mentindo ag… https://t.co/D3eH3tQ7cy";0.0;0.0;Jardim Jordão, Jaboatão dos Gu;-8.141509999999926;-34.93545999999998
2;"#OBrasilVota17
Bem se ser cristão é apoiar aborto, comunismo, terrorismo do MST
Está chegando a hora da vitória.Sei… https://t.co/lG9qZVCNiP";0.4;0.2;Itapetininga, Brasil;-23.58487999999994;-48.04505999999998
3;"Vamos reunir todo os viado e sapatao hoje hein 🙌🌼💋🌎💋

Contra esse Bolsonaro 
Olha o pedido fofo da Bruninha da Net… https://t.co/sIlVk2CR8D";0.25;0.5;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
4;@teyrnofhighever @TheEconomist The point is why Jair Bolsonaro is a threat when all the corrupts support PT?;0.0;0.0;Mogi Guaçu, Brasil;-22.373099999999965;-46.94178999999997
5;"Começou o show MITO : TODOS OS BOLETINS DE URNA EM SUZUKA, JAPÃO: 

Bolsonaro: 1.909 votos (94,27%)
Haddad: 116 votos (5,73%)";0.0;0.0;RIO DE JANEIRO;-22.91215999999997;-43.17500999999993
6;Bom dia! A corrida presidencial que termina logo mais foi agitada.  Bolsonaro e Haddad deram evidências de que sonh… https://t.co/81FLUYHKk8;0.875;0.6000000000000001;Brasil;-10.769946428999958;-53.073466888999974
7;se o Haddad ganhar foda-se, se o Bolsonaro ganhar foda-se também;0.20000000000000004;0.5;búzios city, RJ;-22.746939999999938;-41.881669999999986
8;"""Mudei DO Bolsonaro única e exclusivamente pois queria a alternância do poder. Porém, consegui perceber o quão prej… https://t.co/hNCLFI35za";0.25;0.8125;Brasil;-10.769946428999958;-53.073466888999974
9;"Um alerta do que vem por aí

▪️Bernardo Mello Franco 

A democracia brasileira enfrentará uma prova de fogo se as u… https://t.co/XROMJVJCes";0.0;0.0;Fortaleza;-3.718409999999949;-38.54287999999997
10;"@Amil_Rasec Bom dia 🙏🙏
Bolsonaro com certeza , nunca torci tanto para um candidato igual agora , coração  a mil , s… https://t.co/UAiLkjhROi";0.32999999999999996;0.5877777777777778;Iuiú;-14.416069999999934;-43.552689999999984
11;Bolsonaro in lead for Brazil's presidency;0.0;0.0;[CO] [MX] [CL] [PE];;
12;As pessoas não votam no Bolsonaro por um país melhor (porque se até o Papa está avisando do desastre que será) e si… https://t.co/ialo9YV7Ms;0.5;0.5;Brasil;-10.769946428999958;-53.073466888999974
13;"Haddad vai impedir que Bolsonaro acabe com seu 13º salário. #HaddadPresidente13
#ViraVirouHaddad";0.175;0.325;Rio de Janeiro;-22.91215999999997;-43.17500999999993
14;Bolsonaro obtém 92,1% dos votos válidos em Hamamatsu https://t.co/fbBwV08sdY;0.0;0.0;Brazil;-10.769946428999958;-53.073466888999974
15;@GauchaZH @rosaneoliveira É mais fácil vcs dizer  pra não votar no Bolsonaro com todo esse mi mi mi ,vcs deviam ser… https://t.co/jU9I2Q5TCU;0.0;0.0;Tramandaí, Brasil;-30.008489999999938;-50.151639999999986
