;texto;polarity;subjectivity;location;Latitude;Longitude
2067;EMPATIA é a palavra que falta para os meus pais. para minha família. para meus amigos. porque não vou mentir, a mai… https://t.co/CRdEhlRXFb;0.15;0.275;99;53.354310000000055;6.787010000000066
2068;minha mãe disse que eu n posso apoiar bolsonaro msm não, pq meus amigos é tudo bandido🤔;0.0;0.0;Barra Mansa, RJ;-22.541319999999928;-44.16908999999998
2069;tá galera Bolsonaro ganhou, uhu muito legal, agora PARA de soltar essas porra de fogos que minha dog tá assustada, eu hein povo sem noção;0.08333333333333333;0.65;Brasília, Brasil;-15.778429999999958;-47.92864999999995
2070;Viva o umbanda, viva o espiritismo, viva o budismo, viva o catolicismo! A tua verdade é uma mentira senhor Bolsonaro.;0.10590909090909091;0.48;São Leopoldo, Brasil;-29.771829999999966;-51.14949999999993
2071;SABE OQ ME DA MAIS NOJO, ESSAS PESSOAS DE AGUDO NA CARREATA DO BOLSONARO E ENVOLVIDAS NA CORRUPÇÃO DO MUNICÍPIO, SÓ… https://t.co/qtD5c4aPRv;0.3666666666666667;0.7999999999999999;Pelotas, Brasil;-31.763229999999965;-52.34140999999994
2072;BEM QUE O ''RONALDINHO GAUCHO'' PODIA APARECER ATRAS DO BOLSONARO AGORA,E DAR UMA FACADA NAS COSTAS DELE..;-0.4;0.7;Nova Iguaçu, Brasil;-22.759969999999953;-43.45113999999995
2073;@parodirevoredo @patarevalo 'ta de todo tiene culpa la izquierda! No jodan pues! Que la derecha no es capaz de hace… https://t.co/xgNkBQ3tkZ;0.07142857142857142;0.4401785714285714;Lima, Peru;-12.04317999999995;-77.02823999999998
2074;Brasil, 28 de outubro de 2018, 19:50: em sua primeira entrevista  após  eleito, Bolsonaro faz uma oração conjunta a… https://t.co/8cLCK5T71V;0.25;0.3333333333333333;Recife - Brazil;-8.055309999999963;-34.87198999999998
2075;"BOLSONARO LINDOOOOOO
MITOOOOOO
ARRASA";0.0;0.0;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
2076;Acho que escutei Jair Bolsonaro presidente hahahahahahhahahaha;0.0;0.0;Fundo do poço;-21.78064999999998;-45.96718999999996
2077;Bolsonaro não sabe nem FALAR sem ler um papel Kkkk pelo presidente p povo da burrice elegeu;-0.7999999999999999;1.0;São Borja, Brasil;-28.66012999999998;-56.00522999999998
2078;nervosa Bolsonaro falando de Deus sendo q ele tem princípios totalmentes errados, Deus pregava a paz bobinho;-0.5;0.8875;ᶦᵏᵒⁿ ᵉˣᵒ;;
2079;#MeuBolsominionSecreto joga futebol com os amigos usando a camisa 17, sustenta o crime comprando drogas, mas diz qu… https://t.co/wLcXn6sK0w;0.0;0.0;Caldas Novas, Brasil;-17.745799999999974;-48.62583999999998
2080;@diegoescosteguy @DAHORAWILSON Sua campanha contra o Bolsonaro não deu em nada;0.0;0.0;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
2081;Y a bolsonaro le ponen a rezar antes de hablar, ese amigo imaginario que nos creamos nos ha hecho tanto daño en el pasado;-0.024999999999999994;0.225;Quito, Ecuador;-0.2056199999999535;-78.50879999999995
2082;Bolsonaro falando de liberdade ? Hahaha ai gente, parece irônico, mas esse é o Brasil;0.2;0.65;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
2083;Não sei oq é pior ,se era o PT no comando que tava e tá uma merda ou o Bolsonaro ter ganhado, que merda .;-0.30000000000000004;0.7;Torres, Brasil;-29.34122999999994;-49.725059999999985
2084;crlh bolsonaro tu eh um lixo;0.0;0.0;camila x4 / 141018;55.90396153700004;37.72004643400004
2085;"Nunca vi um Presidente eleito fazer uma oração ao Deus vivo e agradecer ao vivo!!!!
Deus de Israel todos os louvore… https://t.co/PpEhuD1adD";0.0;0.0;Brasil-Rio de Janeiro-RJ;-22.90277999999995;-43.20749999999998
2086;bolsonaro, vai fuder essa brasil.;-0.4;0.6;Belford Roxo, Brasil;-22.763619999999946;-43.39967999999993
2087;Alguém podia colocar a voz do thanos fld dos planos dele no discurso do bolsonaro kkkkkkkkkkkkkkkkk ia ser engraçado;0.25;1.0;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
2088;"Uuuuuuuuuuuuuuuuuuuuuuuuma vai enorme para o Roger Waters.
O Brasil sabe o que quer e elegeu Bolsonaro presidente.… https://t.co/8KTC5ufto6";0.30000000000000004;0.5;Florida, USA;28.56604489500006;-81.68864878999995
2089;Partiu estado Unidos  , só volto pro Brasil Quando Bolsonaro sair da presidência 😉;0.0;0.3333333333333333;Salgueiro City ;-8.072119999999927;-39.12954999999994
2090;nunca desejei mal pra ninguém, mas tudo o que eu mais queria é que acontecesse com o bolsonaro o mesmo que acontece… https://t.co/z2JedUaa9B;-0.3499999999999999;0.3958333333333333;011;41.95354500000008;12.720421546000068
2091;A pessoa que mais me deu apoio na hora de me assumir falando que se pudesse votar votava no Bolsonaro. Eu tô muito triste.;-0.07500000000000001;0.75;Paulista;-7.943689999999947;-34.865939999999966
2092;@huachacomunista ...una crisis política transversal y también una económica, sumado a muchos elementos de la soc. b… https://t.co/qnQRJulGa6;0.2333333333333333;0.26666666666666666;Interzona;44.56765000000007;-123.27387999999996
2093;🔴AO VIVO 1° PRONUNCIAMENTO DE JAIR BOLSONARO COMO PRESIDENTE - CONFIRA A... https://t.co/sGZSZUds9O via @YouTube;0.0;0.0;Cerquilho-SP;-23.167599999999936;-47.74732999999998
2094;Whatever you think of #Bolsonaro, he may just be the perfectly ballsy ringmaster to calm the violent circus that is Brazil...;0.16666666666666666;0.9166666666666666;Our Albion, Red and True;33.27983000000006;-98.72866999999997
2095;só quem viu o vídeo “robô do bolsonaro” entende as minhas ironias;0.0;1.0;Belo Horizonte, Brasil;-19.919519999999977;-43.93832999999995
2096;@piettroscarpa @rafaelacostalp te respeito, brother. só queria que você entendesse o quão difícil será para as mino… https://t.co/Bl8QQ9A1jg;-0.2916666666666667;0.5416666666666666;piquinininha, ma. ;32.00000000000006;-4.999999999999943
2097;Esa es la derecha uruguaya. Ese es el partido nacional. Recuerden siempre esto. Después van a disfrazarse de democr… https://t.co/ksGHCIQqQy;0.2857142857142857;0.5357142857142857;Toledo, Canelones, Uruguay;-34.73599999999993;-56.09054999999995
2098;tá quando que pula p parte que o bolsonaro faz cagada p mim dizer, eu avisei?;0.0;0.0;Lages, Brasil;-27.81970999999993;-50.32097999999996
2099;Tamo fudido, Bolsonaro ganho parceiro;0.0;0.0;Calunga ;-9.897219999999948;17.305840000000046
2100;"BOLSONARO PRESIDENTEEEEEEE
GLÓRIA A DEUSSSSS
💚💛💙
Tava chorando de alegria até agora, carambaaaaa, não acreditei qua… https://t.co/DunHuO4v3y";0.23333333333333336;0.6;CPV;15.08362928200006;-23.624671987999932
2101;Obviously, Trump didn't get Bolsonaro elected, but Trump's rise is both consistent with, and likely helped inspire,… https://t.co/G5QiSCeiAz;0.08333333333333333;0.5833333333333334;Coral Gables, Florida;25.74923000000007;-80.26294999999999
2102;EFE: la victoria de Bolsonaro acelera el giro de América Latina a la derecha https://t.co/mtnpUlgaHV https://t.co/zEhOp7H6Xf;0.2857142857142857;0.5357142857142857;Venezuela / España (+34 657821628);7.683330000000069;-62.58332999999993
2103;"@dick_duchene Bolsonaro l'aurait fait aussi si il avait perdu ;)";0.25;1.0;France;46.55941704400004;2.5505399530000545
2104;caralho o bolsonaro lê e fala como um brasileiro classe média alta;0.08;0.26999999999999996;tfw Manaus;-3.109149999999943;-60.05179999999996
2105;Alea jacta est. Assim como Salomão, Bolsonaro pede sabedoria para conduzir o Brasil.;0.0;0.0;Jataí-GO;-17.88406999999995;-51.72365999999994
2106;Bolsonaro falando de liberdade de escolha mas eles mesmo é homofóbico, que porra é essa?;-0.4;0.6;Limeira, Brasil;-22.564579999999978;-47.40295999999995
2107;Esse vai para todo os gay que votaram no Bolsonaro, fazem a mala o quanto antes isso e sério cara;0.02777777777777779;0.75;Sua Mente 💕;52.29272000000003;8.748460000000023
2108;O BOLSONARO LENDO SOU EU NOS TRABALHOS;0.0;0.0;cf,rj;-34.60848999999996;-58.37343999999996
2109;Eu quase saindo no soco com meu pai ,pq ele tá gritando aq em casa ,”BOLSONARO ,BOLSONARO GU GANHOU”;0.0;0.0;Campo Mourão, Brasil;-24.046269999999936;-52.384199999999964
2110;@XXXMilkDrinker @AightWhiteBoy The dogs a clear bolsonaro fan for sure;0.3;0.6361111111111111;Buckingham, England;52.00072000000006;-0.9864899999999466
2111;Vice do Bolsonaro ???? Onde ??  Até o Frota tá lá !;0.0;0.0;Amstaquera/ItaqueNOU/BernaLEST;43.33626000000004;-3.40898999999996
2112;Bolsonaro é o nosso presidente!! Obrigada meu Deeeeeeus 🙌🏼🙌🏼🙌🏼🙌🏼✅;0.0;0.0;Boa Vista, Roraima ;2.8217500000000655;-60.67355999999995
2113;Jair Bolsonaro: Far-right candidate wins Brazil poll https://t.co/mOCxfJDmLH #SmartNews;0.3;0.2;Granada Hills, Los Angeles;34.26394000000005;-118.49793999999997
2114;quem vir me falar de Bolsonaro vai leva um soco na cara n quero sabe;0.0;0.0;Paraná, Brasil;-24.63501281699996;-51.615551495999966
2115;@petrogustavo @HassNassar Ahora dígalo sin llorar , bolsonaro presidente, Duque mi presidente;-0.2;0.6;Medellín, Colombia;6.245890000000031;-75.57456999999994
2116;Bolsonaro parece que tá desdizendo tudo que já disse. Começou o estelionato eleitoral ai já?;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
