;texto;polarity;subjectivity;location;Latitude;Longitude
32;O cara era eleitor do Bolsonaro aí foi convencido pelo amigo a votar no Andrade, tirou o adesivo do Bolso do carro… https://t.co/S6HI5KrUm9;0.0;0.0;João Pessoa, Paraíba;-7.115259999999978;-34.86107999999996
33;@ThiagoRochaBR mais um da bancada da Sônia a declarar voto em Bolsonaro, eu já sabia disso faz tempo. Aliás acho qu… https://t.co/RDsGdjeMz7;0.0;0.1;Recife, Pernambuco;-8.055309999999963;-34.87198999999998
34;@raffaelamr @NivaldoLimongi @joaquimboficial @rotascapixabas Não me surpreende o voto do Joaquim. Já dava sinais cl… https://t.co/Ei7m6rhsNm;-0.05;0.9;Rio de Janeiro - Brasil.;-22.91215999999997;-43.17500999999993
35;"O mesmo cara que pediam pra ser presidente, que julgou roubalheira do pt ainda assim tem medo do Bolsonaro e vcs ""n… https://t.co/uZj255rowZ";-0.3;0.5125;Guarapuava, Paraná, Brasil;-25.393059999999934;-51.45676999999995
36;@diogomainardi Ah, que pena! Vc tinha q ser PUXADO?! O filho de Bolsonaro conquistou voto por voto e foi o Senador… https://t.co/IN3G8f5aXA;-0.15625;0.2;Grajaú, Rio de Janeiro;-22.92184999999995;-43.26302999999996
37;O meu pai e bolsonaro doente não  sei como ele é dono de fabrica de castanha do Pará ele precisa da floresta amazôn… https://t.co/sYDHE0BXcn;-0.7142857142857143;0.8571428571428571;Belem;-1.4564299999999548;-48.503269999999986
38;“Estamos todos ameaçados”, diz escritor João Paulo Cuenca sobre Bolsonaro  https://t.co/TkZVtP2k4L via @RFI_Brasil;0.0;0.0;França;46.55941704400004;2.5505399530000545
39;'Ele soa como nós': ex-líder da Ku Klux Klan elogia Bolsonaro, mas critica proximidade com Israel… https://t.co/nFJ8kfLURm;0.0;0.0;M.G.;45.79368000000005;3.1091299489295965
40;"Imprensa internacional destaca ""ampla vantagem"" de Bolsonaro no 2º turno https://t.co/plhBun4Tof";-0.03333333333333333;0.13333333333333333;Santa Fé do Sul - SP;-20.211559999999963;-50.92719999999997
41;#EleSim é fascista! O @TSEjusbr parece ter reconhecido publicamente! #Bolsonaro, você faz mal para este país! Por i… https://t.co/xIFo1ZnOwM;-0.4374999999999999;0.36666666666666664;Brasil;-10.769946428999958;-53.073466888999974
42;https://t.co/r44LWR7aq4;0.0;0.0;São Paulo,zona sul;-23.621399963356243;-46.68920004385704
43;@joaquimboficial Essa deve ter doído nos seguidores de Bolsonaro, o Maluco. Acho que o ex ministro poderia ter se m… https://t.co/xWFeg9lJWe;0.0;0.0;Sao Paulo;-23.562869999999975;-46.654679999999985
44;@wagnermoraes @joaquimboficial Acima de qualquer coisa, Joaquim é a favor da democracia, e ele como negro, jamais v… https://t.co/OBJ29NTDpD;-0.08333333333333333;0.26666666666666666;Gama City;-16.00757999999996;-48.07794999999993
45;Com Bolsonaro eleito, precisaremos de defensores da democracia, diz @FHC https://t.co/t3vuSGD8UK E óbvio que estes… https://t.co/enI2TYTyhc;0.0;0.5;Belo Horizonte;-19.919519999999977;-43.93832999999995
46;"@DeivSantana @karloscentelha5 @joaquimboficial Também poderia ser dito em alemão: ""Brazil über alles"". Afinal, tudo… https://t.co/8eDfxnwUSP";0.0;0.0;Franca-SP;-20.527939999999944;-47.39190999999994
47;@SelvaAndreoli El ex fiscal no dice que apoya o no a Bolsonaro dice que es la consecuencia de algo ni siquiera los… https://t.co/izVACvnkd3;0.0;0.0;Montevideo, Uruguay;-34.874169999999935;-56.16292999999996
48;@joaquimboficial Respeito sua opinião, mas meu voto continua sendo do Bolsonaro.;0.0;0.0;Manaus, Brasil;-3.109149999999943;-60.05179999999996
49;@Brenaaleal @JooCarl37025930 @essaporto @muriloignaccio @LeandroFelipe @saahsne @maruxvb @corinthianalhp Você caiu… https://t.co/8ybdGf0uyc;0.0;0.0;No meu celular ;27.49183000000005;-109.93296999999995
50;@GuilhermeBoulos É que acabou as do Bolsonaro e o cara está desempregado precisando vender pra comer, aí ele vende até merda!!!;-0.390625;0.8;João Pessoa, Brasil;-7.115259999999978;-34.86107999999996
51;@samucaduque @g1 O Ciro por mais ressalvas que eu possa fazer a ele é um cara esperto, se ele se associar ao PT ago… https://t.co/QLPXR4FAfZ;0.35714285714285715;0.5714285714285714;São José, Brasil;-28.233329999999967;-49.166669999999954
52;@luciaAna223 mas Bolsonaro 17?;0.0;0.0;PE/Cachoeiro/Viçosa;-8.083329999999933;-37.183329999999955
53;"Xii... Será que BolsoDoria queria pegar carona na ala Pornô do Bolsonaro⁉️Que joiçada‼️🤦🏻‍♀️👉
Novo laudo aponta que… https://t.co/Yn5MSeNdD6";0.13636363636363635;0.45454545454545453;Mundo;12.116110000000049;-68.94721999999996
54;@pavarini Ela continua a namoradinha, agora ele se posicionou a favor do Bolsonaro vai deixar de ser?;0.0;0.0;Na cidade de Placas no Pará;-3.8683099999999513;-54.21598999999998
55;eu amo haddad chamando bolsonaro de soldadinho de araque aaaaaaaah;0.5;0.6;João Pessoa, Brasil;-7.115259999999978;-34.86107999999996
56;"Mas não foi Bolsonaro que te pôs pra correr do STF. ;) https://t.co/Goo6Ns8uaj";0.25;1.0;♔ Cidade Imperial ♔;-13.058929999999975;-76.35171999999994
57;Vejo gente de todos os tipos brigando por política, sendo que quem for eleito provavelmente n mudará tua situação e… https://t.co/2zXZh1dFPb;0.0;0.0;Jardim América, Rio de Janeiro;-22.81499999999994;-43.319609999999955
58;"@fabifbbr :🇧🇷👍😘
Pessoas intelig. falam à favor dos fatos.
""Divisão, polarização, violência, discurso de ódio, minor… https://t.co/XP2XWJ6mLM";-0.016666666666666666;0.6666666666666666;Cascavel,Pr;-24.963629999999966;-53.45365999999996
59;@correio Por isso Bolsonaro será eleito em uma lavada amanhã .....;0.0;0.0;Rio de Janeiro;-22.91215999999997;-43.17500999999993
60;@Maelyson Eu queria ver Bolsonaro oferecendo capim pra ele. Hahaha;0.2;0.3;Recife, PE;-8.055309999999963;-34.87198999999998
61;"Os povos têm os governos que eles merecem.
Mas nem o Brasil merece Michel T. e nem merece Bolsonaro
PENSE, BRASIL

#ViraVotoHaddad13";0.0;0.0;En un lugar de no sé donde;45.28836000000007;2.76144000000005
62;Brazil’s Markets Have Surged on Hope of Bolsonaro Victory. Can He Deliver? https://t.co/v81CKyUNvE;0.0;0.0;São Paulo;-23.562869999999975;-46.654679999999985
63;@nelpold En Brasil van a morir muchas personas, inocentes. Bolsonaro lleva adelante una campaña sucia eso habla de… https://t.co/anfcQoqeYa;-0.04999999999999999;0.65;Argentina;-35.49575818399995;-65.07154210799996
64;Bolsonaro pede ao TSE cassação de Haddad por causa de Roger Waters - https://t.co/ZNTYST6iwR;0.0;0.0;Santarém, Pará;-2.4393099999999777;-54.69882999999999
